,index,county,state,season,title,latitude,longitude,date,number,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,precip_type,pressure,wind_bearing,wind_speed,Class A,Class B,Class C,cluster
0,2,Washington County,Rhode Island,Fall,Report 6496: Bicycling student has night encounter,41.45,-71.5,1974-09-20,6496.0,drm5ucxrc0,74.16590118408203,69.14839935302734,66.51589965820312,66.2271499633789,0.9071111297607422,0.2683749961853027,rain,1019.4762573242188,263.8695678710937,11.25857925415039,1,0,0,6
1,5,Washita County,Oklahoma,Fall,Report 9765: Motorist and children have daylight sighting near Burns Flat.,35.3011,-99.1702,1973-09-28,9765.0,9y32z667yc,70.79810333251953,59.6981086730957,52.708099365234375,47.13935470581055,0.646660385131836,0.11375,No Precipitation,953.3074340820312,164.58303833007812,14.922651290893556,1,0,0,2
2,6,Washington County,Ohio,Summer,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,39.38745,-81.67339,1971-08-01,4983.0,dpjbj6r280,77.97830200195312,69.63079833984375,61.32830047607422,60.79580307006836,0.7452344512939453,0.5845416641235351,No Precipitation,993.1917114257812,17.920425415039062,4.966946125030518,1,0,0,1
3,7,Westchester County,New York,Fall,Report 31940: Fishermen and Law Enforcement Officer Report Three Class A Sightings in Same Area Within a Year near the town of Somers,41.29873,-73.73717,2010-09-01,31940.0,dr7dfn4nx3,93.40699768066406,81.99949645996094,70.09700012207031,63.79325485229492,0.5787888717651367,0.1266249942779541,No Precipitation,1001.331787109375,270.6160583496094,6.397976398468018,1,0,0,6
4,8,Washoe County,Nevada,Fall,Report 5692: Father and son hear vocalizations on Peavine Mt,39.592,-119.975,1970-09-01,5692.0,9r49jzsb5g,76.0990982055664,59.674102783203125,45.49909973144531,29.029098510742188,0.4021051406860351,0.0,No Precipitation,807.823974609375,219.05311584472656,9.812248229980469,0,1,0,0
5,10,Sullivan County,New Hampshire,Summer,Report 55269: Dawn sighting at Stevens Brook outside Claremont,43.41549,-72.33093,2016-06-07,55269.0,drswfpd1x1,73.80770111083984,64.74394989013672,56.797698974609375,56.32145309448242,0.7534551239013672,0.33375,rain,972.1371459960938,226.6420135498047,7.605800151824951,1,0,0,6
6,11,Thurston County,Nebraska,Spring,Report 59757: Possible daylight sighting of a Sasquatch on the Omaha Indian Reservation,42.15685,-96.34203,2018-05-25,59757.0,9z7rzdmv7y,89.81060028076172,77.76559448242188,65.78060150146484,64.06685638427734,0.647896499633789,0.1188750076293945,rain,972.0664672851562,190.8207244873047,13.266371726989746,0,1,0,3
7,12,Ward County,North Dakota,Spring,Report 751: Hunter describes described being stalked near Minot,48.25422,-101.3166,2000-04-21,751.0,c8xfw2rt0n,71.57389831542969,52.962646484375,41.963897705078125,33.368900299072266,0.4817277908325195,0.0515000009536743,rain,951.331298828125,209.1737518310547,12.535186767578123,1,0,0,5
8,13,Yancey County,North Carolina,Spring,Report 3339: Deep impressions seen in the snow,35.74875,-82.26195,1988-03-15,3339.0,dnme25fetd,20.95880126953125,14.486300468444824,8.628799438476562,-3.1349494457244877,0.4522666931152344,0.7825417327880859,No Precipitation,834.2671508789062,305.865966796875,16.07685661315918,0,1,0,1
9,14,Stillwater County,Montana,Summer,Report 47215: Female fly fisherman's lucid recollection of classic territorial intimidation behavior of Saquatches ; 6mi NE of Mystic Lake,45.31278,-109.6449,1971-12-15,47215.0,c841bbzn0d,18.4685001373291,11.823498725891112,7.308500289916992,4.653500556945801,0.7260852813720703,0.7218334197998046,snow,781.940185546875,228.1611175537109,7.697360515594482,0,1,0,5
